,month,area_name_en,yhat,yhat_lower,yhat_upper,growth_factor,growth_factor_lower,growth_factor_upper
110,01-11-2025,Me'Aisem First,14970.45067,13915.87317,16025.02817,1.041194419,0.967848584,1.114540254
111,01-12-2025,Me'Aisem First,15216.55758,13893.55575,16539.55942,1.058311148,0.966296408,1.150325888
112,01-01-2026,Me'Aisem First,15431.12895,13952.03413,16910.22378,1.07323458,0.970363577,1.176105583
113,01-02-2026,Me'Aisem First,15611.27969,14047.7726,17174.78678,1.085764059,0.977022185,1.194505932
114,01-09-2025,Nadd Hessa,12454.20801,12072.5178,12835.89822,0.966252231,0.936639026,0.995865436
115,01-10-2025,Nadd Hessa,12202.1042,11389.35589,13014.8525,0.946692908,0.88363632,1.009749496
116,01-11-2025,Nadd Hessa,12148.64945,10924.76705,13372.53185,0.942545653,0.847591474,1.037499833
117,01-12-2025,Nadd Hessa,12280.41079,10719.55463,13841.26695,0.952768278,0.831670192,1.073866363
118,01-01-2026,Nadd Hessa,12563.74692,10760.88399,14366.60984,0.974750741,0.834876706,1.114624775
119,01-02-2026,Nadd Hessa,12953.84718,11000.9027,14906.79166,1.005016435,0.853498413,1.156534457
120,01-09-2025,Palm Jumeirah,22952.83092,22816.45379,23089.20805,1.005347313,0.999373915,1.01132071
121,01-10-2025,Palm Jumeirah,23041.34956,22673.61206,23409.08706,1.009224481,0.993117365,1.025331597
122,01-11-2025,Palm Jumeirah,23105.53164,22492.68663,23718.37665,1.012035693,0.985192726,1.03887866
123,01-12-2025,Palm Jumeirah,23152.06804,22295.73796,24008.39812,1.014074014,0.97656626,1.051581769
124,01-01-2026,Palm Jumeirah,23185.81012,22094.62945,24276.99078,1.015551937,0.967757591,1.063346283
125,01-02-2026,Palm Jumeirah,23210.27543,21895.75967,24524.7912,1.016623532,0.959046979,1.074200085
126,01-09-2025,Wadi Al Safa 5,15141.94354,14973.5644,15310.32269,1.022268835,1.010901157,1.033636514
127,01-10-2025,Wadi Al Safa 5,15249.10814,14818.05345,15680.16283,1.029503774,1.00040224,1.058605307
128,01-11-2025,Wadi Al Safa 5,15216.25112,14478.21356,15954.28868,1.027285518,0.977458837,1.077112199
129,01-12-2025,Wadi Al Safa 5,15155.65913,14119.36357,16191.9547,1.023194808,0.953232015,1.0931576
130,01-01-2026,Wadi Al Safa 5,15093.26361,13800.80497,16385.72225,1.018982337,0.931725362,1.106239312
131,01-02-2026,Wadi Al Safa 5,15147.82382,13652.91739,16642.73025,1.022665827,0.921741117,1.123590536
